gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3888951313	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/221211275/original.jpeg	https://www.inaturalist.org/photos/221211275					2022-08-08T01:40:49Z	CarinaCR		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	CarinaCR
3888951313	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/221211249/original.jpeg	https://www.inaturalist.org/photos/221211249					2022-08-08T01:40:45Z	CarinaCR		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	CarinaCR
3888951313	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/221211225/original.jpeg	https://www.inaturalist.org/photos/221211225					2022-08-08T01:40:43Z	CarinaCR		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	CarinaCR
3888951313	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/221211303/original.jpeg	https://www.inaturalist.org/photos/221211303					2022-08-08T01:40:55Z	CarinaCR		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	CarinaCR
3873928587	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/212821376/original.jpeg	https://www.inaturalist.org/photos/212821376					2022-07-09T21:15:46Z	juantd		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	juantd
3860170417	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/209595337/original.png	https://www.inaturalist.org/photos/209595337					2022-04-07T16:19:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3860057547	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/209882582/original.png	https://www.inaturalist.org/photos/209882582					2022-03-13T19:24:00Z	Luis David Pérez Gracida		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Luis David Pérez Gracida
3859188320	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/209492344/original.jpeg	https://www.inaturalist.org/photos/209492344					2022-06-13T09:54:26Z	Elias Arcadia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Elias Arcadia
3859015895	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/170315867/original.png	https://www.inaturalist.org/photos/170315867					2021-11-15T03:56:00Z	Allison Kreis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Allison Kreis
3760017513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187558912/original.jpeg	https://www.inaturalist.org/photos/187558912					2022-04-11T16:08:27Z	Mauricio Sánchez Eugenio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio Sánchez Eugenio
3760017513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187558930/original.jpeg	https://www.inaturalist.org/photos/187558930					2022-04-11T16:07:31Z	Mauricio Sánchez Eugenio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio Sánchez Eugenio
3760017513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187558925/original.jpeg	https://www.inaturalist.org/photos/187558925					2022-04-11T16:07:26Z	Mauricio Sánchez Eugenio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio Sánchez Eugenio
3760017513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187558950/original.jpeg	https://www.inaturalist.org/photos/187558950					2022-04-11T16:07:34Z	Mauricio Sánchez Eugenio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio Sánchez Eugenio
3760017513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187498701/original.jpeg	https://www.inaturalist.org/photos/187498701					2022-04-11T16:07:29Z	Mauricio Sánchez Eugenio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio Sánchez Eugenio
3760017513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187558938/original.jpeg	https://www.inaturalist.org/photos/187558938					2022-04-11T16:07:22Z	Mauricio Sánchez Eugenio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mauricio Sánchez Eugenio
